time,grf
2.5581,475.1316
2.5659,433.6401
2.5737,390.8709
2.5815,345.3146
2.5894,303.1374
2.5972,261.796
2.605,229.8163
2.6128,205.3158
2.6206,194.4994
2.6285,188.9248
2.6363,187.4443
2.6441,190.9901
2.6519,192.1327
2.6598,195.6764
2.6676,204.3066
2.6754,219.6373
2.6832,236.2928
2.6911,254.1299
2.6989,275.2942
2.7067,298.9112
2.7145,328.9819
2.7223,358.3206
2.7302,389.5269
2.738,412.9921
2.7458,432.3386
2.7536,449.5109
2.7615,470.1262
2.7693,493.911
2.7771,516.6191
2.7849,536.4792
2.7927,562.626
2.8006,587.4573
2.8084,610.0467
2.8162,634.6221
2.824,655.2588
2.8319,673.3593
2.8397,689.1503
2.8475,700.5098
2.8553,716.3967
2.8632,736.3763
2.871,758.1278
2.8788,782.2949
2.8866,807.1709
2.8944,831.9597
2.9023,856.6461
2.9101,882.8897
2.9179,905.9862
2.9257,926.3146
2.9336,945.5871
2.9414,962.9734
2.9492,976.2114
2.957,990.6045
2.9648,1006.6498
2.9727,1027.0815
2.9805,1043.602
2.9883,1061.5917
2.9961,1080.5995
3.004,1104.0819
3.0118,1126.5045
3.0196,1153.1538
3.0274,1179.4256
3.0353,1199.2163
3.0431,1215.4988
3.0509,1229.5883
3.0587,1237.55
3.0665,1238.9126
3.0744,1240.9872
3.0822,1241.8305
3.09,1244.5531
3.0978,1248.4154
3.1057,1247.8504
3.1135,1247.1393
3.1213,1242.4264
3.1291,1236.7639
3.137,1227.1389
3.1448,1221.8992
3.1526,1218.3257
3.1604,1219.5288
3.1682,1221.1716
3.1761,1224.7743
3.1839,1227.9547
3.1917,1231.7302
3.1995,1236.4531
3.2074,1238.9928
3.2152,1243.1205
3.223,1244.2668
3.2308,1246.7636
3.2386,1248.9527
3.2465,1252.7183
3.2543,1254.2761
3.2621,1254.4649
3.2699,1248.5222
3.2778,1238.9021
3.2856,1219.4183
3.2934,1183.2711
3.3012,1119.8335
3.3091,1022.3444
3.3169,885.806
3.3247,713.953
3.3325,515.8766
3.3403,316.11
3.3482,125.212
3.356,22.7527
3.3638,-0.5723
3.3716,-1.948
3.3795,-0.9578
3.3873,-0.6213
3.3951,-0.9246
3.4029,-1.5785
3.4107,-0.6028
3.4186,-0.548
3.4264,-0.9605
3.4342,-0.5123
3.442,-0.6355
3.4499,-0.1824
3.4577,-0.3076
3.4655,-1.6868
3.4733,-0.4159
3.4812,-0.5022
3.489,0.052
3.4968,0.0048
3.5046,-1.6783
3.5124,-1.0765
3.5203,-0.4379
3.5281,-0.0047
3.5359,-0.8936
3.5437,-0.3607
3.5516,-1.2664
3.5594,-1.6398
3.5672,-0.5456
3.575,-0.691
3.5829,-0.7227
3.5907,-0.5355
3.5985,-0.5051
3.6063,-1.0492
3.6141,-1.6662
3.622,-1.4211
3.6298,-1.4348
3.6376,-1.6883
3.6454,-0.7303
3.6533,-0.4018
3.6611,0.3368
3.6689,-0.5494
3.6767,-0.9155
3.6845,-0.6223
3.6924,-0.5841
3.7002,0.121
3.708,-1.1966
3.7158,-1.6791
3.7237,-1.2094
3.7315,-0.598
3.7393,-0.6781
3.7471,-1.1753
3.755,-0.6888
3.7628,-0.1295
3.7706,0.1295
3.7784,-0.3139
3.7862,-0.1273
3.7941,-1.1144
3.8019,-1.9145
3.8097,-1.4946
3.8175,-1.0832
3.8254,-0.9048
3.8332,-1.1062
3.841,-1.596
3.8488,2.9194
3.8567,107.2767
3.8645,273.7784
3.8723,476.3244
3.8801,762.5596
3.8879,906.8723
3.8958,1038.7578
3.9036,1290.5925
3.9114,1678.3008
3.9192,1841.0821
3.9271,1928.5785
3.9349,1534.4699
3.9427,1303.0066
3.9505,1193.5698
3.9583,1168.8779
3.9662,1212.1821
3.974,1314.1653
3.9818,1370.9981
3.9896,1363.0014
3.9975,1317.8095
4.0053,1255.2538
4.0131,1202.1105
4.0209,1164.5706
4.0288,1154.0798
4.0366,1148.8143
4.0444,1146.0068
4.0522,1141.9964
4.06,1125.7096
4.0679,1113.8901
4.0757,1106.9272
4.0835,1095.5019
4.0913,1086.9687
4.0992,1083.3025
4.107,1076.8065
4.1148,1070.312
4.1226,1064.7204
4.1304,1056.6834
4.1383,1052.1624
4.1461,1051.1638
4.1539,1055.1098
4.1617,1058.4541
4.1696,1056.1392
4.1774,1052.5299
4.1852,1042.722
4.193,1031.9581
4.2009,1020.6437
4.2087,1006.0104
4.2165,991.9287
4.2243,977.169
4.2321,960.2129
4.24,944.3242
4.2478,929.9619
4.2556,912.6489
4.2634,898.736
4.2713,883.5581
4.2791,871.1679
4.2869,858.2386
4.2947,845.7547
4.3026,832.2707
4.3104,813.6619
4.3182,793.791
4.326,771.5733
4.3338,750.3752
4.3417,726.2958
4.3495,705.4302
4.3573,684.4855
4.3651,665.3592
4.373,646.1298
4.3808,626.4334
4.3886,609.6178
4.3964,593.1815
4.4042,577.0455
4.4121,561.6149
4.4199,545.8412
4.4277,528.8617
4.4355,513.5991
4.4434,497.1513
4.4512,483.2148
4.459,468.4121
4.4668,456.8222
4.4747,443.0817
4.4825,431.3951
4.4903,421.3692
4.4981,414.9049
4.5059,409.0626
4.5138,404.6198
4.5216,396.9239
4.5294,391.7464
4.5372,382.4505
4.5451,372.8039
4.5529,366.3202
4.5607,359.8182
4.5685,357.089
4.5763,353.4264
4.5842,354.2161
4.592,355.2539
4.5998,354.9848
4.6076,357.9445
4.6155,363.8856
4.6233,372.5288
4.6311,385.451
4.6389,398.782
4.6468,410.7008
4.6546,425.2368
4.6624,440.7509
4.6702,457.8978
4.678,476.9108
4.6859,500.1205
4.6937,519.3858
4.7015,538.8012
4.7093,557.7278
4.7172,574.085
4.725,592.6257
4.7328,609.0806
4.7406,620.0444
4.7485,629.6052
4.7563,634.2003
4.7641,636.0387
4.7719,633.7788
