ax,ay,az,gx,gy,gz
0.4923,9.8977,0.8444,-0.0086,-0.114,0.005
0.5315,9.878,0.8466,0.0023,-0.1299,0.0005
0.5034,9.8445,0.8439,0.0377,-0.1457,-0.0017
0.4781,9.797,0.8506,0.0516,-0.1711,-0.0094
0.4474,9.7513,0.8279,0.0658,-0.1855,-0.0058
0.4123,9.7273,0.8068,0.067,-0.1775,-0.0041
0.4091,9.7216,0.8096,0.0581,-0.1615,-0.0078
0.4024,9.71,0.8281,0.0503,-0.1552,-0.0015
0.4019,9.6784,0.83,0.0191,-0.1569,-0.007
0.3789,9.662,0.8345,-0.004,-0.1633,-0.0108
0.3426,9.6559,0.8485,-0.007,-0.1699,-0.0044
0.2862,9.6245,0.9179,-0.0084,-0.1538,-0.0078
0.2412,9.6119,0.9564,-0.0073,-0.1457,-0.0125
0.221,9.6294,0.9314,-0.0088,-0.1281,-0.0111
0.2506,9.6455,0.8807,-0.0072,-0.1217,-0.0127
0.2604,9.6435,0.8878,-0.0119,-0.0993,-0.0097
0.2626,9.6003,0.9589,-0.0246,-0.0801,-0.0116
0.2571,9.5851,1.0147,-0.0305,-0.0706,-0.0054
0.245,9.5918,1.0467,-0.0262,-0.0466,-0.0053
0.2694,9.6217,1.0212,-0.0201,-0.0369,-0.0084
0.2829,9.6832,0.9984,-0.0138,-0.0432,-0.0115
0.3011,9.7306,0.9894,-0.0167,-0.0367,-0.0198
0.3297,9.7886,0.9777,-0.0122,-0.0431,-0.018
0.3761,9.8146,0.9803,-0.0104,-0.0478,-0.0213
0.4006,9.8206,0.9639,-0.0153,-0.035,-0.0246
0.4033,9.7946,0.9547,-0.009,-0.0493,-0.0293
0.4214,9.7724,0.9797,-0.0076,-0.0555,-0.0357
0.4362,9.7517,1.0077,-0.0026,-0.0698,-0.0438
0.4208,9.7455,1.0033,-0.007,-0.0842,-0.0456
0.411,9.7594,0.9939,-0.0086,-0.0888,-0.057
0.3679,9.7895,0.9796,-0.0149,-0.1096,-0.0586
0.298,9.816,0.9804,-0.0083,-0.1081,-0.0521
0.2503,9.8389,0.9968,-0.0173,-0.1081,-0.0541
0.1765,9.8758,1.003,-0.0179,-0.097,-0.049
0.121,9.9387,0.9848,-0.0209,-0.081,-0.046
0.0978,9.9675,0.9964,-0.0086,-0.0634,-0.0457
0.0923,9.9858,1.0077,0.0017,-0.0251,-0.0357
0.0874,9.9689,0.9983,0.0246,-0.0042,-0.0303
0.0782,9.9402,0.975,0.0428,0.0325,-0.0201
0.0963,9.9086,0.9448,0.0579,0.0646,-0.0181
0.1162,9.8692,0.9129,0.0656,0.0999,-0.0198
0.15,9.8439,0.9065,0.0642,0.1351,-0.0201
0.2002,9.8115,0.8785,0.0653,0.1591,-0.0183
0.2632,9.7493,0.8532,0.0559,0.183,-0.0138
0.3579,9.7146,0.8485,0.0417,0.2052,-0.006
0.4481,9.7185,0.8625,0.0387,0.2099,0.002
0.5259,9.7072,0.8554,0.0246,0.2161,0.005
0.5762,9.7109,0.8438,0.0245,0.2081,0.0067
0.5953,9.7113,0.8441,0.0356,0.1986,0.0053
0.6112,9.6965,0.8969,0.0371,0.1824,0.012
0.6233,9.6897,0.9247,0.028,0.163,0.0199
0.618,9.6914,0.9198,0.0141,0.147,0.0148
0.6145,9.6806,0.9248,0.0112,0.1438,0.0163
0.5961,9.6595,0.9615,-0.0042,0.1292,0.0192
0.5804,9.6314,0.9823,-0.0041,0.1068,0.0177
0.5593,9.6289,0.9936,-0.0102,0.0827,0.0209
0.541,9.6509,1.0145,-0.0085,0.0684,0.016
0.5003,9.6786,1.0057,-0.0096,0.0571,0.0191
0.4601,9.7044,1.0124,-0.0113,0.0443,0.0176
0.4289,9.7299,1.0221,-0.017,0.0283,0.019
0.4255,9.7622,1.0449,-0.0264,0.0218,0.0188
0.4096,9.7771,1.0266,-0.0139,0.0169,0.0256
0.4085,9.7688,1.0423,-0.0158,0.0121,0.0241
0.3926,9.7573,1.0884,-0.0189,0.0186,0.0208
0.3838,9.7459,1.1023,-0.0296,0.0155,0.0156
0.3794,9.7653,1.0541,-0.0263,0.0027,0.0156
0.367,9.7765,0.9939,-0.0157,0.009,0.0192
0.352,9.7947,1.0028,-0.016,0.0188,0.0128
0.3501,9.8119,1.0146,-0.0097,0.0268,0.0128
0.3655,9.8133,0.9958,-0.0084,0.0413,0.0113
0.382,9.8374,0.9984,-0.0098,0.0478,0.0046
0.3869,9.8352,0.9939,-0.0082,0.0478,0.0063
0.4057,9.8377,0.9849,0.0074,0.0478,0.0082
0.385,9.838,0.9872,0.0182,0.0543,0.0052
0.367,9.8364,0.9828,0.0399,0.0592,0.0073
0.3572,9.8288,0.9733,0.0397,0.0576,0.0057
0.3264,9.8259,0.9752,0.041,0.0624,0.0075
0.3243,9.8262,0.9937,0.0425,0.072,0.0091
0.3832,9.8027,1.0195,0.0397,0.0784,0.0056
0.4239,9.775,1.0305,0.0409,0.0832,0.0074
0.4936,9.7459,1.026,0.0256,0.0672,0.0055
0.5448,9.7097,1.0145,0.0241,0.0623,0.0071
0.5449,9.7027,1.0007,0.0319,0.048,0.0057
0.4892,9.7127,0.9937,0.0334,0.0384,0.0041
0.4811,9.7307,0.9933,0.0425,0.0271,0.0078
0.4885,9.7622,0.9822,0.0598,0.024,0.0065
0.4979,9.7359,0.9521,0.0597,0.0272,0.0081
0.5087,9.7327,0.9228,0.0633,0.0225,0.0063
0.526,9.7289,0.8855,0.0568,0.0176,0.008
0.5426,9.7124,0.9132,0.0585,0.008,0.0064
0.5533,9.6898,0.9552,0.0403,-0.0017,0.0075
0.5583,9.6805,0.9576,0.0419,-0.0113,0.0059
0.5456,9.6652,0.9478,0.0369,-0.0113,0.0076
0.5086,9.6608,0.9477,0.0338,-0.0177,0.0059
0.4899,9.6823,0.9776,0.04,-0.0193,0.0077
0.455,9.7087,0.9822,0.037,-0.0305,0.0044
0.4435,9.7186,1.0008,0.0262,-0.0177,0.0057
0.4511,9.7215,1.0126,0.0155,-0.0194,0.007
0.444,9.6999,1.0193,-0,-0.0146,0.0017
0.4538,9.6955,1.0126,-0.0076,-0.0177,-0.0067
0.4554,9.6757,1.026,-0.0078,-0.0193,-0.0033
0.4492,9.698,1.0563,-0.0076,-0.0176,-0.0083
0.4478,9.7468,1.0676,-0.0093,-0.0209,-0.005
0.4562,9.8033,1.0376,-0.0077,-0.0336,-0.0098
0.4468,9.8128,1.0169,-0.0062,-0.0305,-0.0048
0.4373,9.8151,1.0145,-0.0062,-0.0288,-0.0097
0.4506,9.7927,1.0151,0.0096,-0.0288,-0.0079
0.4701,9.7792,1.0099,0.0077,-0.0271,-0.011
0.4931,9.7622,0.9877,0.0206,-0.0272,-0.0045
0.5363,9.7417,0.9989,0.0096,-0.0304,-0.0079
0.5607,9.7548,0.9848,-0.0076,-0.0352,-0.0114
0.5635,9.7672,0.9749,-0.0018,-0.0431,-0.0143
0.5534,9.7641,0.9962,0.0018,-0.0575,-0.0144
0.553,9.7756,1.0122,0.0001,-0.0528,-0.0095
0.5111,9.7758,1.0166,-0.0076,-0.0704,-0.0145
0.4564,9.7412,1.035,-0.0061,-0.0721,-0.0095
0.4108,9.7233,1.0512,-0.0091,-0.0817,-0.008
0.3668,9.7214,1.0903,-0.0107,-0.0785,-0.008
0.3371,9.722,1.0927,-0.0092,-0.0657,-0.0064
0.309,9.7434,1.0764,-0.017,-0.0562,-0.0017
0.3273,9.779,1.0582,-0.0201,-0.0403,0.0014
0.3675,9.8178,1.0533,-0.0142,-0.0275,0.0049
0.411,9.8527,1.0327,-0.0049,-0.0179,0.0067
0.4715,9.862,1.0077,0.0014,-0.0194,0.0051
0.5316,9.859,0.9709,0.017,-0.0178,0.0054
0.5559,9.8312,0.9552,0.0389,-0.0273,0.0059
0.5623,9.7899,0.9524,0.0417,-0.0369,0.0078
0.5538,9.7405,0.9524,0.0372,-0.0562,0.0077
0.5186,9.7189,0.9437,0.0345,-0.0594,0.0075
